BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
c00020_SGB_121...region001	c00020_SGB_121..	SGB_12181_k141_1946836	ranthipeptide	RiPPs		
c00020_SGB_123...region001	c00020_SGB_123..	SGB_12314_k141_138956	RRE-containing	RiPPs		
c00020_SGB_126...region001	c00020_SGB_126..	SGB_12645_k141_142930	RRE-containing	RiPPs		
c00020_SGB_129...region001	c00020_SGB_129..	SGB_12989_k141_945299	NRPS	NRPS		
c00020_SGB_133...region001	c00020_SGB_133..	SGB_13338_k141_773245	RRE-containing	RiPPs		
c00020_SGB_137...region001	c00020_SGB_137..	SGB_13784_k141_1008151	RRE-containing	RiPPs		
c00020_SGB_363...region001	c00020_SGB_363..	SGB_3631_k141_1090140	NRPS	NRPS		
c00020_SGB_371...region001	c00020_SGB_371..	SGB_3717_k141_14144	RiPP-like	RiPPs		
c00020_SGB_390...region001	c00020_SGB_390..	SGB_3905_k141_565085	arylpolyene	Others		
c00020_SGB_448...region001	c00020_SGB_448..	SGB_4487_k141_2490399	arylpolyene	Others		
c00020_SGB_462...region001	c00020_SGB_462..	SGB_4626_k141_943428	arylpolyene	Others		
c00020_SGB_536...region001	c00020_SGB_536..	SGB_5368_k141_2962322	RRE-containing	RiPPs		
c00020_SGB_543...region001	c00020_SGB_543..	SGB_5432_k141_2596877	NRPS-like	NRPS		
c00020_SGB_547...region001	c00020_SGB_547..	SGB_5477_k141_3342413	betalactone	Others		
c00020_SGB_587...region001	c00020_SGB_587..	SGB_5875_k141_347063	ranthipeptide	RiPPs		
c00020_SGB_593...region001	c00020_SGB_593..	SGB_5936_k141_1772984	RRE-containing	RiPPs		
c00020_SGB_645...region001	c00020_SGB_645..	SGB_6458_k141_5443466	betalactone	Others		
c00020_SGB_667...region001	c00020_SGB_667..	SGB_6677_k141_2934291	NRPS-like	NRPS		
c00020_SGB_710...region001	c00020_SGB_710..	SGB_710_k141_1353378	ranthipeptide	RiPPs		
c00020_SGB_747...region001	c00020_SGB_747..	SGB_747_k141_654450	ranthipeptide	RiPPs		
c00020_SGB_761...region001	c00020_SGB_761..	SGB_7615_k141_1025555	RRE-containing	RiPPs		
c00020_SGB_762...region001	c00020_SGB_762..	SGB_762_k141_162556	RRE-containing	RiPPs		
c00020_SGB_785...region001	c00020_SGB_785..	SGB_785_k141_1096698	ranthipeptide	RiPPs		
c00020_SGB_811...region001	c00020_SGB_811..	SGB_8116_k141_8858	RRE-containing	RiPPs		
c00020_SGB_850...region001	c00020_SGB_850..	SGB_8501_k141_3366863	RRE-containing	RiPPs		
c00020_SGB_858...region001	c00020_SGB_858..	SGB_8585_k141_1157643	cyclic-lactone-autoinducer	RiPPs		
c00020_SGB_937...region001	c00020_SGB_937..	SGB_9375_k141_810055	betalactone	Others		
c00020_SGB_970...region001	c00020_SGB_970..	SGB_9703_k141_532087	ranthipeptide	RiPPs		
c00020_SGB_973...region001	c00020_SGB_973..	SGB_9734_k141_292403	ranthipeptide	RiPPs		
c00020_SGB_989...region001	c00020_SGB_989..	SGB_9896_k141_1763190	ranthipeptide	RiPPs		
c00020_SGB_991...region001	c00020_SGB_991..	SGB_9916_k141_255205	RRE-containing	RiPPs		
c00020_SGB_992...region001	c00020_SGB_992..	SGB_9924_k141_718189	RRE-containing	RiPPs		
c00020_SGB_996...region001	c00020_SGB_996..	SGB_9965_k141_436893	ranthipeptide	RiPPs		
c00021_SGB_100...region001	c00021_SGB_100..	SGB_1004_k141_2211477	ranthipeptide	RiPPs		
c00021_SGB_104...region001	c00021_SGB_104..	SGB_10402_k141_1503873	NRPS-like	NRPS		
c00021_SGB_105...region001	c00021_SGB_105..	SGB_10528_k141_999556	RRE-containing	RiPPs		
c00021_SGB_108...region001	c00021_SGB_108..	SGB_10884_k141_469139	RRE-containing	RiPPs		
c00021_SGB_111...region001	c00021_SGB_111..	SGB_1112_k141_1060989	RRE-containing	RiPPs		
c00021_SGB_115...region001	c00021_SGB_115..	SGB_11589_k141_1026763	RRE-containing	RiPPs		
c00021_SGB_116...region001	c00021_SGB_116..	SGB_11660_k141_575631	betalactone	Others		
c00021_SGB_117...region001	c00021_SGB_117..	SGB_11704_k141_976912	RRE-containing	RiPPs		
c00021_SGB_119...region001	c00021_SGB_119..	SGB_11911_k141_1638318	betalactone	Others		
c00021_SGB_122...region001	c00021_SGB_122..	SGB_12229_k141_15846	RRE-containing	RiPPs		
c00021_SGB_123...region001	c00021_SGB_123..	SGB_12394_k141_161355	NRPS	NRPS		
c00021_SGB_124...region001	c00021_SGB_124..	SGB_12499_k141_1486059	betalactone	Others		
c00021_SGB_125...region001	c00021_SGB_125..	SGB_12578_k141_3221028	RRE-containing	RiPPs		
c00021_SGB_127...region001	c00021_SGB_127..	SGB_12769_k141_1342638	RRE-containing	RiPPs		
c00021_SGB_130...region001	c00021_SGB_130..	SGB_13043_k141_489552	ranthipeptide	RiPPs		
c00021_SGB_131...region001	c00021_SGB_131..	SGB_13182_k141_438180	ranthipeptide	RiPPs		
c00021_SGB_137...region001	c00021_SGB_137..	SGB_13784_k141_1054933	NRPS-like	NRPS		
c00021_SGB_278...region001	c00021_SGB_278..	SGB_2788_k141_1600812	ranthipeptide	RiPPs		
c00021_SGB_385...region001	c00021_SGB_385..	SGB_3854_k141_39864	NRPS-like.NRPS	NRPS		
c00021_SGB_446...region001	c00021_SGB_446..	SGB_4462_k141_615553	RRE-containing	RiPPs		
c00021_SGB_493...region001	c00021_SGB_493..	SGB_4931_k141_362161	T1PKS	PKSI		
c00021_SGB_509...region001	c00021_SGB_509..	SGB_509_k141_1935914	betalactone	Others		
c00021_SGB_537...region001	c00021_SGB_537..	SGB_5375_k141_2520281	RRE-containing	RiPPs		
c00021_SGB_542...region001	c00021_SGB_542..	SGB_5427_k141_676513	betalactone	Others		
c00021_SGB_543...region001	c00021_SGB_543..	SGB_5432_k141_1305439	terpene	Terpene		
c00021_SGB_611...region001	c00021_SGB_611..	SGB_6117_k141_1440399	RRE-containing	RiPPs		
c00021_SGB_654...region001	c00021_SGB_654..	SGB_654_k141_1871121	RRE-containing	RiPPs		
c00021_SGB_655...region001	c00021_SGB_655..	SGB_6553_k141_641833	ranthipeptide	RiPPs		
c00021_SGB_674...region001	c00021_SGB_674..	SGB_6742_k141_1115726	RRE-containing	RiPPs		
c00021_SGB_704...region001	c00021_SGB_704..	SGB_7042_k141_1602046	RRE-containing	RiPPs		
c00021_SGB_714...region001	c00021_SGB_714..	SGB_7140_k141_121923	RRE-containing	RiPPs		
c00021_SGB_775...region001	c00021_SGB_775..	SGB_7752_k141_389519	RRE-containing	RiPPs		
c00021_SGB_808...region001	c00021_SGB_808..	SGB_8088_k141_1859345	betalactone	Others		
c00021_SGB_811...region001	c00021_SGB_811..	SGB_811_k141_2226700	RRE-containing	RiPPs		
c00021_SGB_823...region001	c00021_SGB_823..	SGB_8232_k141_1382186	ranthipeptide	RiPPs		
c00021_SGB_832...region001	c00021_SGB_832..	SGB_8327_k141_3600121	RRE-containing	RiPPs		
c00021_SGB_836...region001	c00021_SGB_836..	SGB_8361_k141_3197328	NRPS	NRPS		
c00021_SGB_838...region001	c00021_SGB_838..	SGB_8380_k141_3199935	RRE-containing	RiPPs		
c00021_SGB_853...region001	c00021_SGB_853..	SGB_8537_k141_171017	betalactone	Others		
c00021_SGB_895...region001	c00021_SGB_895..	SGB_8952_k141_1215590	betalactone	Others		
c00021_SGB_899...region001	c00021_SGB_899..	SGB_8997_k141_1587276	RRE-containing	RiPPs		
c00021_SGB_903...region001	c00021_SGB_903..	SGB_9036_k141_4121693	RRE-containing	RiPPs		
c00021_SGB_905...region001	c00021_SGB_905..	SGB_9055_k141_2680884	cyclic-lactone-autoinducer	RiPPs		
c00021_SGB_931...region001	c00021_SGB_931..	SGB_9310_k141_221942	RRE-containing	RiPPs		
c00021_SGB_997...region001	c00021_SGB_997..	SGB_9974_k141_2261224	RRE-containing	RiPPs		
c00021_SGB_999...region001	c00021_SGB_999..	SGB_9999_k141_1777325	ranthipeptide	RiPPs		
c00022_SGB_100...region001	c00022_SGB_100..	SGB_10085_k141_849261	betalactone	Others		
c00022_SGB_101...region001	c00022_SGB_101..	SGB_1012_k141_1770536	betalactone	Others		
c00022_SGB_104...region001	c00022_SGB_104..	SGB_10464_k141_1919351	RRE-containing	RiPPs		
c00022_SGB_106...region001	c00022_SGB_106..	SGB_10666_k141_207490	betalactone	Others		
c00022_SGB_109...region001	c00022_SGB_109..	SGB_10995_k141_2334298	RRE-containing	RiPPs		
c00022_SGB_111...region001	c00022_SGB_111..	SGB_11136_k141_795800	betalactone	Others		
c00022_SGB_112...region001	c00022_SGB_112..	SGB_1125_k141_1320938	NRPS-like	NRPS		
c00022_SGB_113...region001	c00022_SGB_113..	SGB_11345_k141_654938	NRPS	NRPS		
c00022_SGB_114...region001	c00022_SGB_114..	SGB_1142_k141_770915	ranthipeptide	RiPPs		
c00022_SGB_116...region001	c00022_SGB_116..	SGB_11696_k141_101869	betalactone	Others		
c00022_SGB_124...region001	c00022_SGB_124..	SGB_1244_k141_1094519	RRE-containing	RiPPs		
c00022_SGB_125...region001	c00022_SGB_125..	SGB_12578_k141_411642	NRPS-like	NRPS		
c00022_SGB_127...region001	c00022_SGB_127..	SGB_1277_k141_1546244	betalactone	Others		
c00022_SGB_128...region001	c00022_SGB_128..	SGB_12886_k141_601738	RRE-containing	RiPPs		
c00022_SGB_130...region001	c00022_SGB_130..	SGB_13050_k141_1027073	RRE-containing	RiPPs		
c00022_SGB_131...region001	c00022_SGB_131..	SGB_13171_k141_716932	ranthipeptide	RiPPs		
c00022_SGB_133...region001	c00022_SGB_133..	SGB_13391_k141_1841928	NRPS-like	NRPS		
c00022_SGB_134...region001	c00022_SGB_134..	SGB_13459_k141_263624	NRPS-like	NRPS		
c00022_SGB_405...region001	c00022_SGB_405..	SGB_4051_k141_908349	arylpolyene	Others		
c00022_SGB_428...region001	c00022_SGB_428..	SGB_4285_k141_1823566	RiPP-like	RiPPs		
c00022_SGB_499...region001	c00022_SGB_499..	SGB_4992_k141_1364273	RRE-containing	RiPPs		
c00022_SGB_519...region001	c00022_SGB_519..	SGB_519_k141_2949728	ranthipeptide	RiPPs		
c00022_SGB_521...region001	c00022_SGB_521..	SGB_5212_k141_373701	RRE-containing	RiPPs		
c00022_SGB_555...region001	c00022_SGB_555..	SGB_5554_k141_1364510	RRE-containing	RiPPs		
c00022_SGB_574...region001	c00022_SGB_574..	SGB_5740_k141_2276775	NRPS-like	NRPS		
c00022_SGB_584...region001	c00022_SGB_584..	SGB_5844_k141_246397	proteusin	RiPPs		
c00022_SGB_608...region001	c00022_SGB_608..	SGB_6082_k141_1332265	NRPS	NRPS		
c00022_SGB_611...region001	c00022_SGB_611..	SGB_6119_k141_1512839	RRE-containing	RiPPs		
c00022_SGB_614...region001	c00022_SGB_614..	SGB_6144_k141_1196842	arylpolyene	Others		
c00022_SGB_615...region001	c00022_SGB_615..	SGB_6159_k141_1448496	NRPS	NRPS		
c00022_SGB_640...region001	c00022_SGB_640..	SGB_6402_k141_1834029	ranthipeptide	RiPPs		
c00022_SGB_684...region001	c00022_SGB_684..	SGB_6842_k141_27011	ranthipeptide	RiPPs		
c00022_SGB_737...region001	c00022_SGB_737..	SGB_7375_k141_3529397	RRE-containing	RiPPs		
c00022_SGB_769...region001	c00022_SGB_769..	SGB_7697_k141_1428280	RiPP-like	RiPPs		
c00022_SGB_772...region001	c00022_SGB_772..	SGB_7728_k141_3002511	NRPS	NRPS		
c00022_SGB_806...region001	c00022_SGB_806..	SGB_8069_k141_1612035	RRE-containing	RiPPs		
c00022_SGB_815...region001	c00022_SGB_815..	SGB_8154_k141_2902737	RRE-containing	RiPPs		
c00022_SGB_824...region001	c00022_SGB_824..	SGB_8248_k141_231274	RRE-containing	RiPPs		
c00022_SGB_850...region001	c00022_SGB_850..	SGB_850_k141_188832	ranthipeptide	RiPPs		
c00022_SGB_857...region001	c00022_SGB_857..	SGB_8574_k141_1481368	betalactone	Others		
c00022_SGB_862...region001	c00022_SGB_862..	SGB_8628_k141_1664028	betalactone	Others		
c00022_SGB_889...region001	c00022_SGB_889..	SGB_889_k141_1054790	ranthipeptide	RiPPs		
c00022_SGB_899...region001	c00022_SGB_899..	SGB_8997_k141_2148199	betalactone	Others		
c00022_SGB_955...region001	c00022_SGB_955..	SGB_9551_k141_699409	ranthipeptide	RiPPs		
c00022_SGB_969...region001	c00022_SGB_969..	SGB_9694_k141_1283258	ranthipeptide	RiPPs		
c00022_SGB_984...region001	c00022_SGB_984..	SGB_9846_k141_1841830	RRE-containing	RiPPs		
c00023_SGB_101...region001	c00023_SGB_101..	SGB_10171_k141_1186675	ranthipeptide	RiPPs		
c00023_SGB_103...region001	c00023_SGB_103..	SGB_10340_k141_1470051	hglE-KS	PKSother		
c00023_SGB_104...region001	c00023_SGB_104..	SGB_10482_k141_2072155	ranthipeptide	RiPPs		
c00023_SGB_106...region001	c00023_SGB_106..	SGB_10649_k141_1017239	betalactone	Others		
c00023_SGB_107...region001	c00023_SGB_107..	SGB_10733_k141_248718	betalactone	Others		
c00023_SGB_108...region001	c00023_SGB_108..	SGB_10842_k141_1683451	betalactone	Others		
c00023_SGB_109...region001	c00023_SGB_109..	SGB_10980_k141_136347	betalactone	Others		
c00023_SGB_110...region001	c00023_SGB_110..	SGB_11088_k141_628923	ranthipeptide	RiPPs		
c00023_SGB_111...region001	c00023_SGB_111..	SGB_11184_k141_2657944	RRE-containing	RiPPs		
c00023_SGB_112...region001	c00023_SGB_112..	SGB_1125_k141_1082981	ranthipeptide	RiPPs		
c00023_SGB_116...region001	c00023_SGB_116..	SGB_11635_k141_241655	betalactone	Others		
c00023_SGB_117...region001	c00023_SGB_117..	SGB_11783_k141_161591	ranthipeptide	RiPPs		
c00023_SGB_124...region001	c00023_SGB_124..	SGB_12498_k141_1540104	cyclic-lactone-autoinducer	RiPPs		
c00023_SGB_126...region001	c00023_SGB_126..	SGB_12676_k141_1269701	betalactone	Others		
c00023_SGB_128...region001	c00023_SGB_128..	SGB_12893_k141_691302	ranthipeptide	RiPPs		
c00023_SGB_129...region001	c00023_SGB_129..	SGB_12921_k141_1114943	NRPS-like	NRPS		
c00023_SGB_130...region001	c00023_SGB_130..	SGB_13044_k141_1037571	RRE-containing	RiPPs		
c00023_SGB_132...region001	c00023_SGB_132..	SGB_13291_k141_382513	betalactone	Others		
c00023_SGB_133...region001	c00023_SGB_133..	SGB_13391_k141_1144855	NRPS-like	NRPS		
c00023_SGB_362...region001	c00023_SGB_362..	SGB_362_k141_1414478	ranthipeptide	RiPPs		
c00023_SGB_373...region001	c00023_SGB_373..	SGB_3736_k141_1085039	betalactone	Others		
c00023_SGB_442...region001	c00023_SGB_442..	SGB_4423_k141_1961002	NRPS-like	NRPS		
c00023_SGB_496...region001	c00023_SGB_496..	SGB_4967_k141_609485	betalactone	Others		
c00023_SGB_613...region001	c00023_SGB_613..	SGB_6132_k141_296063	RRE-containing	RiPPs		
c00023_SGB_720...region001	c00023_SGB_720..	SGB_7200_k141_2612565	betalactone	Others		
c00023_SGB_736...region001	c00023_SGB_736..	SGB_7369_k141_1658502	RRE-containing	RiPPs		
c00023_SGB_738...region001	c00023_SGB_738..	SGB_7389_k141_2052616	RRE-containing	RiPPs		
c00023_SGB_745...region001	c00023_SGB_745..	SGB_7450_k141_394571	cyclic-lactone-autoinducer	RiPPs		
c00023_SGB_774...region001	c00023_SGB_774..	SGB_774_k141_1880408	RRE-containing	RiPPs		
c00023_SGB_794...region001	c00023_SGB_794..	SGB_7949_k141_2129941	NRPS-like	NRPS		
c00023_SGB_798...region001	c00023_SGB_798..	SGB_7983_k141_458774	betalactone	Others		
c00023_SGB_811...region001	c00023_SGB_811..	SGB_811_k141_1646126	cyclic-lactone-autoinducer	RiPPs		
c00023_SGB_862...region001	c00023_SGB_862..	SGB_8624_k141_1093577	RRE-containing	RiPPs		
c00023_SGB_879...region001	c00023_SGB_879..	SGB_8792_k141_3143946	RRE-containing	RiPPs		
c00023_SGB_888...region001	c00023_SGB_888..	SGB_8884_k141_641077	betalactone	Others		
c00023_SGB_893...region001	c00023_SGB_893..	SGB_8938_k141_1875066	betalactone	Others		
c00023_SGB_951...region001	c00023_SGB_951..	SGB_9511_k141_1617897	RRE-containing	RiPPs		
c00023_SGB_952...region001	c00023_SGB_952..	SGB_952_k141_1113909	ranthipeptide	RiPPs		
c00023_SGB_967...region001	c00023_SGB_967..	SGB_9679_k141_1923210	RRE-containing	RiPPs		
c00023_SGB_977...region001	c00023_SGB_977..	SGB_9777_k141_1925939	betalactone	Others		
c00023_SGB_981...region001	c00023_SGB_981..	SGB_9819_k141_1931316	NRPS	NRPS		
c00024_SGB_100...region001	c00024_SGB_100..	SGB_1004_k141_3380395	betalactone	Others		
c00024_SGB_102...region001	c00024_SGB_102..	SGB_10267_k141_733182	betalactone	Others		
c00024_SGB_104...region001	c00024_SGB_104..	SGB_10425_k141_444023	betalactone	Others		
c00024_SGB_105...region001	c00024_SGB_105..	SGB_1058_k141_756686	RRE-containing	RiPPs		
c00024_SGB_106...region001	c00024_SGB_106..	SGB_1064_k141_2092839	betalactone	Others		
c00024_SGB_107...region001	c00024_SGB_107..	SGB_10781_k141_1406625	hserlactone	Others		
c00024_SGB_109...region001	c00024_SGB_109..	SGB_1093_k141_369872	terpene	Terpene		
c00024_SGB_111...region001	c00024_SGB_111..	SGB_11143_k141_2574862	ranthipeptide	RiPPs		
c00024_SGB_112...region001	c00024_SGB_112..	SGB_11277_k141_1087239	NRPS	NRPS		
c00024_SGB_114...region001	c00024_SGB_114..	SGB_11442_k141_436174	arylpolyene	Others		
c00024_SGB_115...region001	c00024_SGB_115..	SGB_11509_k141_1795374	RRE-containing	RiPPs		
c00024_SGB_116...region001	c00024_SGB_116..	SGB_11635_k141_2255200	betalactone	Others		
c00024_SGB_118...region001	c00024_SGB_118..	SGB_11879_k141_227236	betalactone	Others		
c00024_SGB_120...region001	c00024_SGB_120..	SGB_12041_k141_713510	ranthipeptide	RiPPs		
c00024_SGB_121...region001	c00024_SGB_121..	SGB_12175_k141_1775462	RRE-containing	RiPPs		
c00024_SGB_122...region001	c00024_SGB_122..	SGB_12238_k141_537789	RRE-containing	RiPPs		
c00024_SGB_126...region001	c00024_SGB_126..	SGB_12606_k141_300837	ranthipeptide	RiPPs		
c00024_SGB_129...region001	c00024_SGB_129..	SGB_1294_k141_2181920	ranthipeptide	RiPPs		
c00024_SGB_131...region001	c00024_SGB_131..	SGB_13199_k141_642721	arylpolyene	Others		
c00024_SGB_132...region001	c00024_SGB_132..	SGB_1329_k141_1634788	ranthipeptide	RiPPs		
c00024_SGB_133...region001	c00024_SGB_133..	SGB_13309_k141_275757	ranthipeptide	RiPPs		
c00024_SGB_138...region001	c00024_SGB_138..	SGB_13890_k141_983190	ranthipeptide	RiPPs		
c00024_SGB_362...region001	c00024_SGB_362..	SGB_3626_k141_59317	RRE-containing	RiPPs		
c00024_SGB_415...region001	c00024_SGB_415..	SGB_4150_k141_1498855	RRE-containing	RiPPs		
c00024_SGB_427...region001	c00024_SGB_427..	SGB_4274_k141_2556603	betalactone	Others		
c00024_SGB_436...region001	c00024_SGB_436..	SGB_4366_k141_437340	NRPS	NRPS		
c00024_SGB_440...region001	c00024_SGB_440..	SGB_440_k141_1764235	betalactone	Others		
c00024_SGB_441...region001	c00024_SGB_441..	SGB_4415_k141_2815257	RRE-containing	RiPPs		
c00024_SGB_479...region001	c00024_SGB_479..	SGB_4790_k141_268002	RRE-containing	RiPPs		
c00024_SGB_489...region001	c00024_SGB_489..	SGB_4891_k141_2636280	NRPS-like	NRPS		
c00024_SGB_493...region001	c00024_SGB_493..	SGB_4930_k141_683661	RRE-containing	RiPPs		
c00024_SGB_505...region001	c00024_SGB_505..	SGB_5052_k141_183173	NRPS-like	NRPS		
c00024_SGB_510...region001	c00024_SGB_510..	SGB_5106_k141_2230947	betalactone	Others		
c00024_SGB_513...region001	c00024_SGB_513..	SGB_5136_k141_204598	RRE-containing	RiPPs		
c00024_SGB_518...region001	c00024_SGB_518..	SGB_5189_k141_725071	RRE-containing	RiPPs		
c00024_SGB_551...region001	c00024_SGB_551..	SGB_5512_k141_1506872	betalactone	Others		
c00024_SGB_553...region001	c00024_SGB_553..	SGB_5531_k141_966364	NRPS	NRPS		
c00024_SGB_562...region001	c00024_SGB_562..	SGB_5623_k141_4057120	RRE-containing	RiPPs		
c00024_SGB_594...region001	c00024_SGB_594..	SGB_5949_k141_877412	NRPS-like	NRPS		
c00024_SGB_612...region001	c00024_SGB_612..	SGB_6127_k141_823756	betalactone	Others		
c00024_SGB_617...region001	c00024_SGB_617..	SGB_6175_k141_2464393	ranthipeptide	RiPPs		
c00024_SGB_647...region001	c00024_SGB_647..	SGB_6473_k141_2238782	terpene	Terpene		
c00024_SGB_697...region001	c00024_SGB_697..	SGB_6973_k141_1723127	RRE-containing	RiPPs		
c00024_SGB_699...region001	c00024_SGB_699..	SGB_6993_k141_1204177	ranthipeptide	RiPPs		
c00024_SGB_786...region001	c00024_SGB_786..	SGB_7862_k141_423607	RRE-containing	RiPPs		
c00024_SGB_811...region001	c00024_SGB_811..	SGB_8115_k141_2167225	RRE-containing	RiPPs		
c00024_SGB_812...region001	c00024_SGB_812..	SGB_812_k141_3015685	arylpolyene	Others		
c00024_SGB_830...region001	c00024_SGB_830..	SGB_8308_k141_2803808	ranthipeptide	RiPPs		
c00024_SGB_832...region001	c00024_SGB_832..	SGB_8329_k141_269882	RRE-containing	RiPPs		
c00024_SGB_862...region001	c00024_SGB_862..	SGB_8622_k141_2861852	ranthipeptide	RiPPs		
c00024_SGB_911...region001	c00024_SGB_911..	SGB_9116_k141_21203	ranthipeptide	RiPPs		
c00024_SGB_940...region001	c00024_SGB_940..	SGB_9401_k141_2529264	ranthipeptide	RiPPs		
c00024_SGB_982...region001	c00024_SGB_982..	SGB_9824_k141_1249928	thiopeptide	RiPPs		
c00024_SGB_984...region001	c00024_SGB_984..	SGB_9846_k141_1047068	ranthipeptide	RiPPs		
c00024_SGB_992...region001	c00024_SGB_992..	SGB_9924_k141_1521824	ranthipeptide	RiPPs		
c00024_SGB_996...region001	c00024_SGB_996..	SGB_9967_k141_1003080	arylpolyene	Others		
c00024_SGB_999...region001	c00024_SGB_999..	SGB_9993_k141_1413029	NRPS-like	NRPS		
c00025_SGB_101...region001	c00025_SGB_101..	SGB_1012_k141_984395	ranthipeptide	RiPPs		
c00025_SGB_102...region001	c00025_SGB_102..	SGB_10288_k141_1112182	betalactone	Others		
c00025_SGB_103...region001	c00025_SGB_103..	SGB_10324_k141_1575203	NRPS	NRPS		
c00025_SGB_104...region001	c00025_SGB_104..	SGB_10482_k141_325337	betalactone	Others		
c00025_SGB_106...region001	c00025_SGB_106..	SGB_106_k141_2988964	RRE-containing	RiPPs		
c00025_SGB_108...region001	c00025_SGB_108..	SGB_10884_k141_883057	betalactone	Others		
c00025_SGB_109...region001	c00025_SGB_109..	SGB_10918_k141_1352459	RRE-containing	RiPPs		
c00025_SGB_110...region001	c00025_SGB_110..	SGB_11079_k141_1828451	NRPS-like	NRPS		
c00025_SGB_111...region001	c00025_SGB_111..	SGB_11105_k141_693749	cyclic-lactone-autoinducer	RiPPs		
c00025_SGB_113...region001	c00025_SGB_113..	SGB_11391_k141_347882	NRPS	NRPS		
c00025_SGB_118...region001	c00025_SGB_118..	SGB_11842_k141_925051	RRE-containing	RiPPs		
c00025_SGB_119...region001	c00025_SGB_119..	SGB_11908_k141_2439824	RRE-containing	RiPPs		
c00025_SGB_123...region001	c00025_SGB_123..	SGB_12335_k141_1370003	ranthipeptide	RiPPs		
c00025_SGB_124...region001	c00025_SGB_124..	SGB_12482_k141_275379	RRE-containing	RiPPs		
c00025_SGB_126...region001	c00025_SGB_126..	SGB_12654_k141_1229015	RRE-containing	RiPPs		
c00025_SGB_130...region001	c00025_SGB_130..	SGB_13003_k141_70167	betalactone	Others		
c00025_SGB_131...region001	c00025_SGB_131..	SGB_13135_k141_1008648	betalactone	Others		
c00025_SGB_133...region001	c00025_SGB_133..	SGB_13370_k141_596052	betalactone	Others		
c00025_SGB_134...region001	c00025_SGB_134..	SGB_13410_k141_804047	RiPP-like	RiPPs		
c00025_SGB_385...region001	c00025_SGB_385..	SGB_3853_k141_141566	cyclic-lactone-autoinducer	RiPPs		
c00025_SGB_462...region001	c00025_SGB_462..	SGB_4626_k141_452668	RRE-containing	RiPPs		
c00025_SGB_511...region001	c00025_SGB_511..	SGB_5115_k141_1970698	betalactone	Others		
c00025_SGB_521...region001	c00025_SGB_521..	SGB_5213_k141_1972139	betalactone	Others		
c00025_SGB_615...region001	c00025_SGB_615..	SGB_6159_k141_609138	terpene	Terpene		
c00025_SGB_619...region001	c00025_SGB_619..	SGB_6196_k141_223293	NRPS-like.NRPS	NRPS		
c00025_SGB_653...region001	c00025_SGB_653..	SGB_6535_k141_770627	RRE-containing	RiPPs		
c00025_SGB_683...region001	c00025_SGB_683..	SGB_6832_k141_2728356	betalactone	Others		
c00025_SGB_704...region001	c00025_SGB_704..	SGB_7049_k141_3401025	hserlactone	Others		
c00025_SGB_747...region001	c00025_SGB_747..	SGB_747_k141_1081901	RRE-containing	RiPPs		
c00025_SGB_767...region001	c00025_SGB_767..	SGB_7674_k141_939151	ranthipeptide	RiPPs		
c00025_SGB_784...region001	c00025_SGB_784..	SGB_7849_k141_788884	betalactone	Others		
c00025_SGB_801...region001	c00025_SGB_801..	SGB_8017_k141_2706699	RRE-containing	RiPPs		
c00025_SGB_835...region001	c00025_SGB_835..	SGB_8351_k141_2923767	RRE-containing	RiPPs		
c00025_SGB_840...region001	c00025_SGB_840..	SGB_8404_k141_675170	ranthipeptide	RiPPs		
c00025_SGB_852...region001	c00025_SGB_852..	SGB_8520_k141_814936	RRE-containing	RiPPs		
c00025_SGB_853...region001	c00025_SGB_853..	SGB_8539_k141_2324518	terpene	Terpene		
c00025_SGB_879...region001	c00025_SGB_879..	SGB_8794_k141_4196481	betalactone	Others		
c00025_SGB_883...region001	c00025_SGB_883..	SGB_8837_k141_2718551	RRE-containing	RiPPs		
c00025_SGB_916...region001	c00025_SGB_916..	SGB_916_k141_1902907	RRE-containing	RiPPs		
c00025_SGB_941...region001	c00025_SGB_941..	SGB_9410_k141_1700122	betalactone	Others		
c00025_SGB_944...region001	c00025_SGB_944..	SGB_9448_k141_1526096	ranthipeptide	RiPPs		
c00025_SGB_948...region001	c00025_SGB_948..	SGB_9485_k141_479968	betalactone	Others		
c00025_SGB_966...region001	c00025_SGB_966..	SGB_9660_k141_120599	ranthipeptide	RiPPs		
c00025_SGB_989...region001	c00025_SGB_989..	SGB_9895_k141_1001938	RRE-containing	RiPPs		
c00025_SGB_993...region001	c00025_SGB_993..	SGB_9936_k141_836185	betalactone	Others		
c00026_SGB_100...region001	c00026_SGB_100..	SGB_10083_k141_1238159	ranthipeptide	RiPPs		
c00026_SGB_101...region001	c00026_SGB_101..	SGB_10128_k141_267568	NRPS	NRPS		
c00026_SGB_105...region001	c00026_SGB_105..	SGB_10524_k141_502016	betalactone	Others		
c00026_SGB_106...region001	c00026_SGB_106..	SGB_10649_k141_603468	ranthipeptide	RiPPs		
c00026_SGB_109...region001	c00026_SGB_109..	SGB_10997_k141_247209	cyclic-lactone-autoinducer	RiPPs		
c00026_SGB_110...region001	c00026_SGB_110..	SGB_11085_k141_396414	RRE-containing	RiPPs		
c00026_SGB_112...region001	c00026_SGB_112..	SGB_11239_k141_146468	ranthipeptide	RiPPs		
c00026_SGB_113...region001	c00026_SGB_113..	SGB_11331_k141_2689624	RRE-containing	RiPPs		
